Source,Author,Text,Party,Division,Sentiment
75_ksiazka.txt,Marszałek Elżbieta Witek,"Dziękuję. To nie jest wniosek formalny. Pan poseł Czesław Mroczek, Koalicja Obywatelska. Proszę. ",PiS,Prawica,"{'neg': 0.0, 'neu': 0.902, 'pos': 0.098, 'compound': 0.0772}"
75_ksiazka.txt,Poseł Stefan Krajewski,"Szanowna Pani Marszałek! Wysoka Izbo! Dziękuję za to dzisiejsze posiedzenie poświęcone polskiemu rolnictwu. Tylko pytam: Czemu dopiero dzisiaj, a nie w lipcu, kiedy złożyliśmy projekt ustawy o ochronie polskiego rolnictwa, kiedy konkretne rozwiązania przedstawiliśmy? Co będzie po 30 czerwca? Dzisiaj się cieszycie, ale co będzie dalej, kiedy te zakazy się skończą? Chodzi nie tylko o to, aby dzisiaj wprowadzać nowe podatki, po to żeby wspierać tych, którzy mają ciężko, ale o to, by antycypować i już dzisiaj przygotować chociażby ustawę o zwiększeniu zawartości biokomponentów w paliwach, po to żeby zdjąć nadwyżkę, wywieźć z kraju, udrożnić przepustowość. Czekam na informację pana ministra rolnictwa, ile tego zboża już kupiliście. Panie prezesie Kaczyński, wprowadzono pana w błąd, bo pan powiedział, że 1400 zł dopłacicie do każdej tony, a później  pańscy ministrowie powiedzieli ",KP,Lewica,"{'neg': 0.128, 'neu': 0.859, 'pos': 0.013, 'compound': -0.9425}"
75_ksiazka.txt,Marszałek Elżbieta Witek,"Dziękuję bardzo, panie pośle. ",PiS,Prawica,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
75_ksiazka.txt,Poseł Czesław Mroczek,"Pani Marszałek! Wysoka Izbo! W imieniu klubu Koalicji Obywatelskiej wnoszę o uzupełnienie porządku obrad o informację ministra obrony narodowej dotyczącą bezpieczeństwa naszego kraju w związku z zagrożeniem rakietowym. Sytuacja w Przewodowie z listopada, później z 16 grudnia, ostatnio szczątki rakiety pod Bydgoszczą  to wskazuje, z jak wielkim zagrożeniem w tym zakresie mamy do czynienia. Było wiadomo, że wojna na Ukrainie spowoduje wzrost tego zagrożenia. Jest pytanie, jakie działania podjął rząd polski, by chronić naszych obywateli i Polskę przed tym zagrożeniem. Przypominamy sobie, że w grudniu, kiedy było to wielkie zagrożenie, ten rząd zastanawiał się, czy przyjąć wsparcie sojusznicze, czy przyjąć dodatkowe baterie Patriot, żeby chronić polskich obywateli. Potrzebna jest pełna informacja rządu w tym zakresie.  Bez bezpiecznego nieba nie ma bezpieczeństwa obywateli, nie ma bezpieczeństwa państwa. Dajcie tę informację.  ",KO,Lewica,"{'neg': 0.054, 'neu': 0.833, 'pos': 0.113, 'compound': 0.7568}"
75_ksiazka.txt,Marszałek Elżbieta Witek,"Dziękuję bardzo. Panie pośle, tę kwestię już rozstrzygaliśmy. Pan poseł Stefan Krajewski, Koalicja Polska. że się nie da  2200 do hektara  bo Unia się nie zgodziła. Kto okłamał pana prezesa?   Dziękuję bardzo. Na tym zakończyliśmy wnioski formalne. Ogłaszam minutę przerwy.  ",PiS,Prawica,"{'neg': 0.065, 'neu': 0.935, 'pos': 0.0, 'compound': -0.4019}"
75_ksiazka.txt,Wicemarszałek Małgorzata Gosiewska,"Wznawiam obrady.  Uprzejmie proszę o przeniesienie rozmów w kuluary, szanowni państwo. Bardzo proszę. Przystępujemy do rozpatrzenia punktu 1. porządku dziennego: Pierwsze czytanie rządowego projektu ustawy o zmianie ustawy o zwrocie podatku akcyzowego zawartego w cenie oleju napędowego wykorzystywanego do produkcji rolnej . Uprzejmie proszę podsekretarza stanu w Ministerstwie Rolnictwa i Rozwoju Wsi pana ministra Ryszarda Bartosika o przedstawienie uzasadnienia projektu ustawy. .",PiS,Prawica,"{'neg': 0.0, 'neu': 0.82, 'pos': 0.18, 'compound': 0.8074}"
75_ksiazka.txt,Ryszard Bartosik,"Szanowna Pani Marszałek! Wysoka Izbo! Przedstawiam projekt ustawy o zmianie ustawy o zwrocie podatku akcyzowego zawartego w cenie oleju napędowego wykorzystywanego do produkcji rolnej. W przedłożonym projekcie ustawy o zmianie ustawy o zwrocie podatku akcyzowego zawartego w cenie oleju napędowego wykorzystywanego do produkcji rolnej wprowadzane są dwie dodatkowe formy pomocy dla producentów rolnych. Pierwsza dodatkowa pomoc dotyczy wprowadzenia limitu zużywanego oleju napędowego dla producentów świń, owiec, kóz i koni. Druga dodatkowa pomoc dotyczy zwiększenia stawki zwrotu kosztów zakupu oleju napędowego zakupionego w okresie od dnia 1 lutego 2023 r. do końca lipca 2023 r.  do pozostającego w dyspozycji producenta rolnego limitu na drugi nabór wniosków, do 2 zł za 1 l oleju napędowego. Wprowadzenie dodatkowego limitu zwrotu podatku akcyzowego dla producentów świń, owiec, kóz i koni jest uzasadnione potrzebą zmniejszenia kosztów produkcji zwierzęcej w gospodarstwach rolnych. W ostatnim okresie odnotowany został wzrost kosztów produkcji rolnej, w tym związanych z wysokimi cenami paliwa rolniczego. Średnia cena oleju napędowego w kwietniu 2023 r., w porównaniu z kwietniem 2021 r., wzrosła o 27. Roczny limit przysługujący do wyliczenia zwrotu podatku akcyzowego w odniesieniu do producentów świń wynosić będzie 4 l dla każdej sztuki świń liczonej jako średnia roczna liczba świń będących w posiadaniu producenta rolnego w roku poprzedzającym rok, w którym został złożony wniosek o zwrot podatku. Dla producentów owiec, kóz i koni wynosić to będzie 40 l na jedną dużą jednostkę przeliczeniową owiec, kóz lub koni będących w posiadaniu producenta rolnego w roku poprzedzającym rok, w którym został złożony wniosek o zwrot podatku. Wartości współczynników przeliczeniowych sztuk owiec, kóz i koni na duże jednostki przeliczeniowe określone zostały w załączeniu do ustawy, a zostały opracowane przy wykorzystaniu współczynników zastosowanych w rozporządzeniu Rady Ministrów z dnia 31 stycznia 2023 r. w sprawie Programu działań mających na celu zmniejszenie zanieczyszczenia wód azotanami pochodzącymi ze źródeł rolniczych oraz zapobieganie dalszemu zanieczyszczeniu. Wysoka Izbo! Producent świń, owiec, kóz i koni będzie zobowiązany do złożenia oświadczenia we wniosku o zwrot podatku o średniej rocznej liczbie świń lub średniej rocznej liczbie dużych jednostek przeliczeniowych owiec, kóz i koni będących w posiadaniu producenta rolnego oraz do dołączenia dokumentu wydanego przez kierownika biura powiatowego Agencji Restrukturyzacji i Modernizacji Rolnictwa, zawierającego informacje o liczbie świń będących w posiadaniu producenta rolnego albo o liczbie dużych jednostek przeliczeniowych owiec, kóz lub koni będących w posiadaniu producenta rolnego. Aktualnie kierownicy biur powiatowych Agencji Restrukturyzacji i Modernizacji Rolnictwa wydają takie dokumenty posiadaczom bydła. W 2023 r. producenci rolni będą wnioskowali o zwrot podatku w odniesieniu do świń, owiec, kóz i koni w drugim terminie składania wniosku o zwrot podatku, tj. od dnia 1 sierpnia do dnia 31 sierpnia. Do wniosków mogą dołączyć faktury VAT albo ich kopie wystawione od dnia 1 sierpnia 2022 r. do dnia 31 lipca 2023 r. stanowiące dowód zakupu oleju napędowego w okresie 12 miesięcy poprzedzających miesiąc złożenia wniosku. W 2023 r. producent rolny prowadzący chów lub hodowlę koni będzie składać oświadczenie o średniej rocznej liczbie dużych jednostek przeliczeniowych koni w swoim gospodarstwie pod groźbą odpowiedzialności karnej za składanie fałszywych oświadczeń. Ze względu na wysokie koszty zakupu oleju napędowego w 2023 r. w drugim naborze wniosków o zwrot podatku dotacja do 1 l zakupionego oleju napędowego wyniesie 2 zł. Przy czym maksymalna stawka zwrotu podatku może wynieść 1,46 zł za litr, z uwzględnieniem w podatkach również opłaty paliwowej i emisyjnej. Dodatkowa pomoc, w wysokości 54 gr na litr zakupionego oleju napędowego, będzie udzielana po uzyskaniu zgody Komisji Europejskiej na zastosowanie tej pomocy. Wniosek notyfikacyjny został już wysłany do Komisji Europejskiej. Skutki dla budżetu państwa w związku z wejściem w życie proponowanych zmian szacuje się na 616,6 mln zł  55 mln zł z tytułu dodatkowego limitu na świnie, owce, kozy i konie oraz 561,6 mln zł z tytułu zwiększenia zwrotu podatku o 80 gr w przypadku oleju napędowego. Wysoka Izbo! Uprzejmie proszę o dyskusję, a następnie o procedowanie nad tym projektem i o przyjęcie tego tak ważnego dla rolników dokumentu. Dziękuję bardzo, pani marszałek. ",PiS,Prawica,"{'neg': 0.012, 'neu': 0.939, 'pos': 0.049, 'compound': 0.9636}"
75_ksiazka.txt,Wicemarszałek Małgorzata Gosiewska,"Dziękuję bardzo, panie ministrze. Sejm ustalił, że w dyskusji nad tym punktem porządku dziennego wysłucha 5minutowych oświadczeń w imieniu klubów i 3minutowych oświadczeń w imieniu kół. Otwieram dyskusję. Stanowisko Klubu Parlamentarnego Prawo i Sprawiedliwość przedstawi pan poseł Jerzy Małecki. Bardzo proszę. .",PiS,Prawica,"{'neg': 0.0, 'neu': 0.823, 'pos': 0.177, 'compound': 0.7269}"
75_ksiazka.txt,Poseł Jerzy Małecki,"Szanowna Pani Marszałek! Panie Ministrze! Wysoka Izbo! W imieniu Klubu Parlamentarnego Prawo i Sprawiedliwość mam zaszczyt przedstawić oświadczenie w sprawie rządowego projektu ustawy o zmianie ustawy o zwrocie podatku akcyzowego zawartego w cenie oleju napędowego wykorzystywanego do produkcji rolnej, zawartego w druku sejmowym nr 3178. Przedmiotowy projekt dotyczy zmniejszenia kosztów produkcji w gospodarstwach rolnych produkujących świnie, owce, kozy i konie przez wprowadzenie wsparcia finansowego w odniesieniu do oleju napędowego wykorzystywanego w ich produkcji. W projekcie ustawy zaproponowano przepisy dotyczące ustalania limitu oleju napędowego wykorzystywanego do produkcji rolnej, do którego przysługuje zwrot podatku akcyzowego w odniesieniu do świń, owiec, kóz i koni. Jednocześnie w projekcie ustawy przewidziano wzrost środków na zwrot kosztów zakupu oleju napędowego dla producentów rolnych w tzw. drugim okresie składania przez rolników wniosków o zwrot podatku, tj. od 1 sierpnia 2023 r. do 31 sierpnia 2023 r., wraz z fakturami VAT lub ich kopiami wystawionymi od dnia 1 sierpnia 2022 r. do 31 lipca 2023 r., stanowiącymi dowód zakupu oleju napędowego. Zgodnie z zapisami projektu do ilości zakupionego w okresie od 1 lutego do 31 lipca 2023 r. oleju napędowego wykorzystywanego do produkcji rolnej przysługiwać będzie stawka zwrotu w wysokości 1,46 zł oraz dodatkowa pomoc w wysokości 54 gr na 1 l oleju napędowego. Dodatkowa pomoc, w kwocie 54 gr na 1 l oleju napędowego, będzie mogła być wypłacona po uzyskaniu zgody Komisji Europejskiej. Jest to istotny wzrost, jeśli weźmiemy pod uwagę, że dotychczas obowiązująca stawka wynosiła 1,20 zł, a stawka z 2022 r. to była złotówka. Mówimy więc o wzroście o 100. Proponowane przez rząd rozwiązanie realizuje licznie zgłaszane postulaty dotyczące zwiększenia pomocy państwa dla producentów rolnych oraz zrównania prawa do pomocy dla producentów rolnych utrzymujących zwierzęta, którzy w czasie kryzysu gospodarczego w równym stopniu mierzą się ze stale rosnącymi cenami pasz, energii i usług. Pani Marszałek! Panie Ministrze! Wysoka Izbo! W związku z tym, że przedstawiony projekt tworzy możliwość ubiegania się o zwrot części kosztów związanych z prowadzeniem produkcji zwierzęcej, a tym samym wychodzi naprzeciw wnioskom producentów rolnych, rolników, Klub Parlamentarny Prawo i Sprawiedliwość opiniuje go pozytywnie oraz opowiada się za skierowaniem go do dalszego procedowania. Dziękuję bardzo.  ",PiS,Prawica,"{'neg': 0.011, 'neu': 0.868, 'pos': 0.122, 'compound': 0.9867}"
75_ksiazka.txt,Wicemarszałek Małgorzata Gosiewska,"Dziękuję bardzo, panie pośle. Stanowisko Klubu Parlamentarnego Koalicja Obywatelska przedstawi pan poseł Piotr Borys. ",PiS,Prawica,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
75_ksiazka.txt,Poseł Piotr Borys,"Szanowna Pani Marszałek! Wysoka Izbo! Jeżeli jesteśmy w stanie spojrzeć na ostatni rok, na to, co wydarzyło się w rolnictwie, to wprost możemy określić politykę Prawa i Sprawiedliwości jako nieróbstwo, kłamstwo i zachłanność  te trzy epitety mogą być przypisane waszej bezczynności w tych obszarach. Po pierwsze, bezczynność, lenistwo. Ile tak naprawdę, panie ministrze, milionów ton zboża technicznego pojawiło się w Polsce? Dlaczego nie chcecie ujawnić dokładnej ilości zboża, które trafiło do Polski? Wskażcie wszystkie firmy, które brały udział w tym procederze. Pokażcie, ile milionów ton niekontrolowanego technicznego zboża, poza jakąkolwiek jakościową kontrolą  trafiło do Polski, zostało przetworzone na artykuły spożywcze. Pokażcie całą prawdę. Dlaczego nie chcecie jej pokazać? Wasz minister nie poinformował opinii publicznej o szczegółowych danych. Wczoraj komisarz Wojciechowski przekazał informację, że do Polski trafiło 4,1 mln t ziarna z Ukrainy. Ponad 3 mln zostało. W informacji z Ministerstwa Finansów została przekazana nam informacja o tym, że do Polski trafiło 520 tys. t pszenicy, 1,8 mln t kukurydzy. Czy to jest prawda? Oczywiście, że to nie jest prawda. To jest nieprawda, dlatego że magazyny polskie są zasypane ukraińskim zbożem. Dlaczego nie chcecie pokazać prawdy? Boicie się tej prawdy. Komisarz Wojciechowski powiedział we wczorajszym wywiadzie, że codziennie otrzymuje raporty z Polski, ile tysięcy ton zboża ukraińskiego trafia do Polski. Dlaczego tych informacji nie przekazuje minister Telus? To jest wasza odpowiedzialność za największy od dziesięcioleci kryzys w rolnictwie. Kłamstwo. Jakim prawem kłamstwem posługiwał się pan premier Kowalczyk, który mówił o tym, że pszenica będzie droższa? Jakim prawem wprowadził w błąd tysiące polskich rolników, którzy wtedy mogli sprzedać pszenicę za 1,5 tys. zł, a dzisiaj ta sama tona pszenicy kosztuje 920 zł? Doprowadził swoją nieodpowiedzialnością do ogromnej tragedii dziesiątków tysięcy polskich rolników. Jedno nieodpowiedzialne zdanie spowodowało ogromny chaos i ogromny problem w polskich rodzinach. Za to ponosi się największą odpowiedzialność: odpowiedzialność prawną i odpowiedzialność polityczną. Zachłanność. Szanowni państwo, mówimy dzisiaj o ustawie, która ma wesprzeć producentów wieprzowiny, hodowców koni, kóz i owiec. Osoba, która jest najbardziej zachłanna, która zarabia na Polakach, na polskich rolnikach, to wasz człowiek  prezes Obajtek. Dzisiaj, kiedy baryłka ropy kosztuje 76 dolarów, cena litra wynosi ponad 6,7 zł. Przed wybuchem wojny, kiedy baryłka kosztowała 96 dolarów, litr tego samego oleju napędowego kosztował 5,45 zł. To jest jawne okradanie Polaków.  To jest również jawne okradanie polskich rolników, którzy tak naprawdę zostali przez zachłanność polskich .",KO,Lewica,"{'neg': 0.059, 'neu': 0.863, 'pos': 0.078, 'compound': 0.768}"
75_ksiazka.txt,Wicemarszałek Małgorzata Gosiewska,Dziękuję. Pan poseł Jacek Czerniak w imieniu klubu Lewica. Bardzo proszę. ,PiS,Prawica,"{'neg': 0.0, 'neu': 0.874, 'pos': 0.126, 'compound': 0.0772}"
75_ksiazka.txt,Poseł Jacek Czerniak,"Dziękuję bardzo. Szanowna Pani Marszałek! Wysoka Izbo! Mam zaszczyt przedstawić stanowisko klubu parlamentarnego Lewicy w sprawie rządowego projektu dotyczącego zmiany ustawy z dnia 10 marca 2006 r. o zwrocie podatku akcyzowego zawartego w cenie oleju napędowego wykorzystywanego do produkcji rolnej. Projekt ma na celu wprowadzenie limitu zużywanego oleju napędowego w odniesieniu do produkcji świń, owiec, kóz i koni w przypadku prowadzenia produkcji rolnej przez producenta, któremu jednocześnie przysługuje zwrot części podatku akcyzowego zawartego w cenie paliwa zakupionego w ramach działalności prowadzonej na powierzchni co najmniej 1 ha użytków rolnych. Wprowadzenie pomocy finansowej w formie zwrotu podatku akcyzowego jest potrzebne i uzasadnione, ponieważ wszyscy wiemy, a rolnicy szczególnie, że wzrosły koszty utrzymania, koszty energii i koszty paszy. W art. 4 ust. 2 dodano pkt 36, które określają, jak ustala się limit zwrotu podatku akcyzowego w od niesieniu do producentów świń oraz producentów owiec, kóz i koni. Jest to przedstawione jako iloczyn poszczególnych parametrów Proszę państwa, co ciekawe, wyjątkowo w 2023 r.  ten rok jest rokiem wyborczym  w drugim naborze zwrot do 1 l zakupionego oleju napędowego wyniesie 2 zł. Dodatkowe skutki finansowe tego działania to 561,6 mln zł. Zwrot będzie warunkowy, bo jeżeli Komisja Europejska nie zgodzi się na tę stawkę, to tej pomocy nie będzie. Wtedy minister rolnictwa będzie mógł zrzucić odpowiedzialność na Unię Europejską, powiedzieć, że Unia nie chce pomagać polskim rolnikom. Szanowni Państwo! W 2023 r. producent rolny, który złoży wniosek o zwrot podatku w terminie od 1 sierpnia do 31 sierpnia, otrzyma dodatkowo pomoc w wysokości 0,54 zł na 1 l oleju napędowego. Warto podkreślić, że ten program jest rozpisany na lata 20232032. Właśnie w 2023 przeznaczona na niego kwota wyniesie 616,6 mln zł. W kolejnych latach  do 2032 r.  będzie to 55 mln zł rocznie. Przedkładany projekt według wnioskodawców jest zgodny z prawem unijnym. Zgodnie z dyrektywą Rady 200396WE z dnia z dnia 27 października 2003 r. w sprawie restrukturyzacji wspólnotowych przepisów ramowych dotyczących opodatkowania produktów energetycznych i energii elektrycznej państwa członkowskie mogą stosować minimalną stawkę akcyzy do produktów energetycznych i elektrycznych używanych w rolnictwie, ogrodnictwie, hodowli ryb i leśnictwie, w tym do olejów napędowych, w wysokości 21 euro na 1000 l. Szanowni Państwo! W ramach konsultacji ministerstwo zwróciło się do 37 organizacji społecznych i samorządu gospodarczego. Co warto podkreślić, w pierwszej fazie prac na projektem rządowym dopłata do oleju napędowego dotyczyła tylko producentów świń, natomiast po wnioskach Polskiego Związku Hodowców Koni i Polskiego Związku Owczarskiego rozszerzono zakres, jeśli chodzi o gatunki zwierząt, których produkcja uprawnia do zwrotu podatku akcyzowego. Pozycje związków zostały uwzględnione. Z drugiej strony w tym projekcie nie została uwzględniona propozycja Polskiego Związku Hodowców i Producentów Gęsi. Co do kwestii związanych ze wsparciem to można powiedzieć, że dzisiaj polski rolnik ma problemy związane z produkcją rolną, ze zbytem swojego zboża. I taki polski rolnik, rolnik z Lubelszczyzny, z powiatu hrubieszowskiego, mówi, że nie chce łaski rządu PiS. On chce normalnie funkcjonować w ramach gospodarki rynkowej, sprzedawać swój produkt, bo przecież ma kredyty, ma rodzinę, musi utrzymać to wszystko. On potrzebuje nie doraźnego wsparcia, tylko długofalowej pomocy, strategicznego myślenia. A czy takie tu jest? Zostawiam to do dyskusji. Szanowni Państwo! W związku z tym klub parlamentarny Lewica popiera dalsze prace związane z projektem, który został zgłoszony jako projekt rządowy i dotyczy kwestii, o których mówiłem. Dziękuję bardzo.  .",Lewica,Lewica,"{'neg': 0.016, 'neu': 0.953, 'pos': 0.031, 'compound': 0.7696}"
75_ksiazka.txt,Wicemarszałek Małgorzata Gosiewska,"Dziękuję bardzo, panie pośle. Pan poseł Mirosław Maliszewski, Koalicja Polska. Bardzo proszę. ",PiS,Prawica,"{'neg': 0.0, 'neu': 0.894, 'pos': 0.106, 'compound': 0.0772}"
